In this Ablation study, multiple threads are used to make batches for global training. 10 CPUs are requested and 8 CPUs are used.
Done
Region: 2scand
Region: 2scand, y1=45, y2=58, x1=0, x2=12
Region: 2scand, y1=45, y2=58, x1=0, x2=12
total_time=2.167520523071289
model1 created. 
 --- model1 size: 38.70 MBs,
 --- Num params: 10.125 mil. 
Training...
Epoch 91, 91/100, training error: 0.708527, testing error: 6144355888839.872070
Epoch 92, 92/100, training error: 1.537232, testing error: 6133491639469.022461
Epoch 93, 93/100, training error: 2.834696, testing error: 6127683393592.121094
Epoch 94, 94/100, training error: 1.063131, testing error: 6123943821240.883789
Epoch 95, 95/100, training error: 1.878997, testing error: 6102272358242.968750
Epoch 96, 96/100, training error: 2.945386, testing error: 6060521950490.762695
Epoch 97, 97/100, training error: 1.489316, testing error: 6057026917665.497070
Epoch 98, 98/100, training error: 0.559427, testing error: 6055265274197.496094
Epoch 99, 99/100, training error: 0.658564, testing error: 6048067949384.119141
Epoch 100, 100/100, training error: 1.556901, testing error: 6031135230098.898438
Done
